model,partition,selected,threshold,tn,fp,fn,tp,precision_attack,recall_attack,f1_attack,false_positive_rate,balanced_accuracy,mcc,roc_auc,average_precision_attack,average_precision_benign,macro_average_precision
logistic_regression,validation,False,0.1760294436951605,3277,33,2742,97566,0.9996618817815757,0.9726641942816127,0.985978262517243,0.009969788519637462,0.9813472028809875,0.7237446644070553,0.9929185510440531,0.9997683118653943,0.7682158688107963,0.8839920903380953
random_forest,validation,True,0.5985298793840453,3278,32,1777,98531,0.9996753345575926,0.9822845635442836,0.9909036511105189,0.009667673716012085,0.9863084449141357,0.7939735825609772,0.996871468204215,0.9998976154206519,0.8913923690681023,0.945644992244377
random_forest,test,True,0.5985298793840453,3270,40,1839,98470,0.9995939498528068,0.9816666500513413,0.9905491929845739,0.012084592145015106,0.9847910289531632,0.7875178506780638,0.9968250899283149,0.9998960653738141,0.8926381378945828,0.9462671016341985
