model,partition,threshold,tn,fp,fn,tp,precision_attack,recall_attack,f1_attack,false_positive_rate,balanced_accuracy,mcc,roc_auc,average_precision_attack,average_precision_benign,macro_average_precision
logistic_regression,validation,0.5,3307,3,3136,97172,0.9999691278621045,0.9687362922199625,0.9841049609333462,0.0009063444108761329,0.9839149739045432,0.7047896190566861,0.9929185510440531,0.9997683118653944,0.7682158688107963,0.8839920903380953
logistic_regression,test,0.5,3309,1,3130,97179,0.9999897098168348,0.9687964190650888,0.9841459524327937,0.00030211480362537764,0.9842471521307317,0.7054778105041813,0.9931651348390874,0.9997764665936383,0.7695125774896268,0.8846445220416326
random_forest,validation,0.5,3251,59,1575,98733,0.99940278565066,0.9842983610479722,0.9917930688096434,0.01782477341389728,0.9832367938170374,0.806523868961574,0.996871468204215,0.9998976154206519,0.8913923690681023,0.945644992244377
random_forest,test,0.5,3249,61,1614,98695,0.9993823160111791,0.9839097189683876,0.9915856629744053,0.018429003021148038,0.9827403579736198,0.8027746887294707,0.9968250899283149,0.9998960653738141,0.8926381378945828,0.9462671016341985
